data_Lançamento;1. Pessoal Ativo;2. Pessoal Inativo e Pensionistas;4. Indenizações por Demissão e Incentivo à Demissão;5. Decorrentes de Decisão Judicial;6. Despesas de Exercicios Anteriores;7. Inativos e Pensionistas com Recursos Vinculados;9. Receita Corrente;10. Deduções
01-2014;546275104,8;237679792,2;95078,1;39518804,8;6875489,3;242785069,3;;
02-2014;507208402,1;239350976,8;820596,7;500984,2;10219039,0;275530266,8;;
03-2014;538507826,7;256959731,4;4039555,7;374553,7;4103068,5;271377435,4;;
04-2014;396504353,4;249888179,7;1429427,1;200311,1;1401537,3;224522910,7;;
05-2014;647862745,1;260413679,0;2623260,2;1507337,4;10771273,4;298774669,7;;
06-2014;556555798,3;272489857,3;1403510,1;1287142,6;1439887,4;265985586,1;;
07-2014;563626632,7;272611127,9;1430960,4;1358861,8;1690617,1;286323612,9;;
08-2014;430233726,7;272946445,7;1004653,1;476564,1;818725,8;192398302,0;;
09-2014;767203844,8;272021647,2;1735208,0;362026,8;827729,1;418929527,6;;
10-2014;487937141,0;274547187,9;882367,5;38213,2;612538,1;271132665,3;;
11-2014;556971526,9;275939680,5;1954527,2;0,0;32882,6;209242672,0;;
12-2014;1185803818,0;561724832,4;2586482,0;20579,7;2408359,2;657744688,0;;
01-2015;522976131,8;285404693,3;1056359,0;42335429,9;32497414,4;162305001,1;2497489989,6;611655171,5
02-2015;669010895,0;288368226,1;2291209,0;1968802,0;2888661,9;166915091,4;2296863272,7;644008429,5
03-2015;566806955,6;284437516,3;2494019,2;867197,8;3815484,2;171047181,4;2402171095,4;789909131,4
04-2015;555232514,6;290544529,8;2269088,7;77235,8;1833321,3;154625570,3;2320807001,7;601404974,7
05-2015;562013236,5;289738065,9;1624727,2;1061521,7;1640219,1;156340802,9;2213724042,5;691181507,8
06-2015;543681837,3;292548511,8;1583965,4;465,1;4788806,0;159175332,9;2159433551,5;618593549,0
07-2015;820517460,9;438344835,4;1613553,0;29064,0;1462891,4;153280186,0;1993405433,1;568362775,3
08-2015;564735494,9;294958041,6;1509276,9;7003,3;2496038,1;254544437,7;2064152539,3;546572887,3
09-2015;552545099,7;298394799,2;1557260,9;11323,2;7435638,1;208260207,5;2016789560,2;581628742,0
10-2015;557733339,1;299048094,0;1646834,4;95611,0;2798056,9;244188550,4;2050482922,0;578098436,8
11-2015;616388263,9;299237390,1;2062378,0;22611,4;17068729,7;413456906,6;2137822540,1;592782351,1
12-2015;940679633,4;457604032,5;1481700,5;13465143,1;9236455,1;664852903,1;3122919180,1;803426148,4
01-2016;653176720,9;305103021,6;49129,3;0,0;54323871,8;295844476,3;2383407213,2;554442362,0
02-2016;450259998,3;306277752,3;164989,0;0,0;2207936,3;248844765,5;2329961538,7;624736095,1
03-2016;670400121,0;310018507,6;215447,5;0,0;2557235,9;404607226,4;2528112011,1;769833349,9
04-2016;557204612,1;316031867,7;27866,1;87729,7;3994398,9;305657712,5;2345717228,3;689220332,8
05-2016;577750807,6;313687272,5;454670,9;5240358,1;1651586,1;331326929,2;2532929757,7;725540152,3
06-2016;580003783,6;321680664,0;124828,7;0,0;1991865,9;327075709,2;2233943723,9;626818454,0
07-2016;579376814,5;318135276,6;30242,1;35506,2;1076400,5;336081705,1;2113641812,1;608043643,8
08-2016;603206124,4;345723001,2;23747,2;30402,7;8859537,7;322546689,3;2248190497,8;643049657,1
09-2016;570466457,5;322710348,8;83533,7;3398,7;2704648,4;253646211,6;2110668846,3;586939830,4
10-2016;585794127,6;325809697,2;115818,5;853083,8;1330122,5;259987827,8;2207049664,9;626968723,0
11-2016;663575256,5;294063326,0;75177,9;12333065,8;797806,0;218141729,8;3025333977,9;855406938,2
12-2016;1122066589,0;618735491,5;89868,4;3024471,7;3558944,4;479561455,3;2957971563,0;852887207,8
01-2017;571521659,1;401388980,3;102412,4;0,0;81631742,6;242193065,5;2681076065,9;698119869,5
02-2017;568935544,7;346508641,1;86957,3;88626314,3;2180876,7;283694337,1;2852294858,1;738494066,4
03-2017;728894637,2;346367814,4;207317,5;14332,6;1244811,2;521805750,7;2429358737,6;815827024,1
04-2017;606373069,5;347156086,1;92025,5;122008,9;906425,9;368139138,2;2349116883,2;681232585,8
05-2017;625961092,2;366825157,5;89954,0;0,0;21702274,6;375263347,9;2451603727,9;708759081,9
06-2017;672754607,9;368570695,5;127219,2;0,0;1309474,6;384478756,4;2444630651,4;670390148,3
07-2017;628067934,9;376750077,4;135750,6;224813,0;291091,8;349459071,0;2263910046,8;633711122,2
08-2017;630100882,1;370666885,9;99268,4;30411,8;648126,1;289377429,6;2404585459,9;655891489,6
09-2017;696391461,7;243945512,6;66105,5;44296641,0;1992816,6;338020913,3;2374184551,9;697220419,2
10-2017;618004234,9;518945827,5;172938,2;73334,9;2450968,5;290734280,2;2365727524,2;688140217,2
11-2017;607731924,3;380511026,7;6213762,3;459083,2;2139256,9;349637850,3;2449407334,0;674799425,1
12-2017;1344117790,0;760053862,6;175694,7;12996810,3;8610231,8;866421714,9;3044391671,2;935557762,6
01-2018;606285334,9;600554422,6;155894,8;3333,7;3261723,2;397193381,2;2798731189,3;768553475,3
02-2018;636328021,7;603243606,4;89367,1;0,0;1200216,5;398414307,7;3016077710,6;897762762,3
03-2018;647958035,1;607355316,7;152872,2;35666,3;16328745,8;402789203,6;2563726691,1;756556130,5
